DATABASE_ID,GENERIC_NAME,SMILES,FORMULA,MOLECULAR_WEIGHT,EXACT_MASS,Total.Molweight,cLogP,H.Acceptors,H.Donors
DB00526,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,C8H14N2O4Pt,397.294,397.060149,397.289,-1.1774,6,2
DB06764,Tetryzoline,C1CN=C(N1)C1CCCC2=CC=CC=C12,C13H16N2,200.285,200.1313485,200.284,2.1302,2,1
DB00382,Tacrine,NC1=C2CCCCC2=NC2=CC=CC=C12,C13H14N2,198.2637,198.1156985,198.268,2.5091,2,1
DB00709,Lamivudine,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,C8H11N3O3S,229.256,229.0521119,229.259,-0.9483,6,2
DB00943,Zalcitabine,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,C9H13N3O3,211.2178,211.0956913,211.22,-1.3304,6,2
DB13211,Guanoxan,NC(=N)NCC1COC2=C(O1)C=CC=C2,C10H13N3O2,207.233,207.1007767,207.232,0.0253,5,3
DB00226,Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1,C10H19N3O2,213.2768,213.1477269,213.28,-0.2338,5,2
DB00350,Minoxidil,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,C9H15N5O,209.2483,209.1276601,209.252,0.1716,5,2
DB09324,Sulbactam,[H][C@@]12CC(=O)N1[C@@]([H])(C(O)=O)C(C)(C)S2(=O)=O,C8H11NO5S,233.242,233.0357932,233.243,-0.1556,6,1
DB12300,P-nitrobiphenyl,O=N(=O)C1=CC=C(C=C1)C1=CC=CC=C1,C12H9NO2,199.209,199.0633285,199.208,2.3972,2,0
DB05246,Methsuximide,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,C12H13NO2,203.2371,203.0946287,203.24,1.0394,3,0
DB01188,Ciclopirox,CC1=CC(=O)N(O)C(=C1)C1CCCCC1,C12H17NO2,207.2689,207.1259288,207.272,1.4285,3,1
DB00740,Riluzole,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,C8H5F3N2OS,234.198,234.0074681,234.201,2.8837,3,1
